assetID,lat,lon,vs30,fragilityModel,censusTract,occType,occupancy,strType,designLevel
64,33.6806028,-117.2811199,360,MH-m-RES2-DF,6065042748,RES,RES2,MH,MC
65,33.6806028,-117.2811199,360,W1-m-RES3AF-DF,6065042748,RES,RES3A,W1,MC
66,33.6806028,-117.2811199,360,W1-h-RES3AF-DF,6065042748,RES,RES3D,W1,HC
67,39.2634436,-121.5062545,360,C2L-m-AGR1-DF,6115041001,AGR,AGR1,C2L,MC
68,39.2634436,-121.5062545,360,PC1-m-AGR1-DF,6115041001,AGR,AGR1,PC1,MC
69,39.2634436,-121.5062545,360,RM1L-m-AGR1-DF,6115041001,AGR,AGR1,RM1L,MC
70,39.2634436,-121.5062545,360,RM2L-m-AGR1-DF,6115041001,AGR,AGR1,RM2L,MC
71,39.2634436,-121.5062545,360,S1L-m-AGR1-DF,6115041001,AGR,AGR1,S1L,MC
72,39.2634436,-121.5062545,360,S3-m-AGR1-DF,6115041001,AGR,AGR1,S3,MC
73,39.2634436,-121.5062545,360,URML-p-AGR1-DF,6115041001,AGR,AGR1,URML,PC
74,39.2634436,-121.5062545,360,W1-l-AGR1-DF,6115041001,AGR,AGR1,W1,LC
75,39.2634436,-121.5062545,360,W1-m-AGR1-DF,6115041001,AGR,AGR1,W1,MC
76,39.2634436,-121.5062545,360,W2-m-AGR1-DF,6115041001,AGR,AGR1,W2,MC
77,39.2634436,-121.5062545,360,C2L-m-COM1-DF,6115041001,COM,COM1,C2L,MC
78,39.2634436,-121.5062545,360,C2L-p-COM1-DF,6115041001,COM,COM1,C2L,PC
79,39.2634436,-121.5062545,360,PC1-m-COM1-DF,6115041001,COM,COM1,PC1,MC
80,39.2634436,-121.5062545,360,PC2L-m-COM1-DF,6115041001,COM,COM1,PC2L,MC
81,39.2634436,-121.5062545,360,RM1L-m-COM1-DF,6115041001,COM,COM1,RM1L,MC
82,39.2634436,-121.5062545,360,RM2L-m-COM1-DF,6115041001,COM,COM1,RM2L,MC
83,39.2634436,-121.5062545,360,S3-m-COM1-DF,6115041001,COM,COM1,S3,MC
84,39.2634436,-121.5062545,360,URML-p-COM1-DF,6115041001,COM,COM1,URML,PC
85,39.2634436,-121.5062545,360,W1-m-COM1-DF,6115041001,COM,COM1,W1,MC
86,39.2634436,-121.5062545,360,W2-m-COM1-DF,6115041001,COM,COM1,W2,MC
87,39.2634436,-121.5062545,360,C2L-m-COM2-DF,6115041001,COM,COM2,C2L,MC
88,39.2634436,-121.5062545,360,PC1-m-COM2-DF,6115041001,COM,COM2,PC1,MC
89,39.2634436,-121.5062545,360,PC1-p-COM2-DF,6115041001,COM,COM2,PC1,PC
90,39.2634436,-121.5062545,360,RM1L-m-COM2-DF,6115041001,COM,COM2,RM1L,MC
91,39.2634436,-121.5062545,360,RM2L-m-COM2-DF,6115041001,COM,COM2,RM2L,MC
92,39.2634436,-121.5062545,360,S1L-m-COM2-DF,6115041001,COM,COM2,S1L,MC
93,39.2634436,-121.5062545,360,S2L-m-COM2-DF,6115041001,COM,COM2,S2L,MC
94,39.2634436,-121.5062545,360,S3-m-COM2-DF,6115041001,COM,COM2,S3,MC
95,39.2634436,-121.5062545,360,URML-p-COM2-DF,6115041001,COM,COM2,URML,PC
96,39.2634436,-121.5062545,360,W1-m-COM2-DF,6115041001,COM,COM2,W1,MC
97,39.2634436,-121.5062545,360,C2L-m-COM3-DF,6115041001,COM,COM3,C2L,MC
98,39.2634436,-121.5062545,360,PC1-m-COM3-DF,6115041001,COM,COM3,PC1,MC
99,39.2634436,-121.5062545,360,RM1L-m-COM3-DF,6115041001,COM,COM3,RM1L,MC
100,39.2634436,-121.5062545,360,RM2L-m-COM3-DF,6115041001,COM,COM3,RM2L,MC
101,39.2634436,-121.5062545,360,W1-m-COM3-DF,6115041001,COM,COM3,W1,MC
102,39.2634436,-121.5062545,360,C1L-m-COM4-DF,6115041001,COM,COM4,C1L,MC
103,39.2634436,-121.5062545,360,C2L-m-COM4-DF,6115041001,COM,COM4,C2L,MC
104,39.2634436,-121.5062545,360,PC1-m-COM4-DF,6115041001,COM,COM4,PC1,MC
105,39.2634436,-121.5062545,360,RM1L-m-COM4-DF,6115041001,COM,COM4,RM1L,MC
106,39.2634436,-121.5062545,360,RM2L-m-COM4-DF,6115041001,COM,COM4,RM2L,MC
107,39.2634436,-121.5062545,360,W1-m-COM4-DF,6115041001,COM,COM4,W1,MC
108,39.2634436,-121.5062545,360,W2-m-COM4-DF,6115041001,COM,COM4,W2,MC
109,39.2634436,-121.5062545,360,S2L-m-COM5-DF,6115041001,COM,COM5,S2L,MC
110,39.2634436,-121.5062545,360,W2-m-COM5-DF,6115041001,COM,COM5,W2,MC
111,39.2634436,-121.5062545,360,S4L-m-COM7-DF,6115041001,COM,COM7,S4L,MC
112,39.2634436,-121.5062545,360,C2L-m-COM8-DF,6115041001,COM,COM8,C2L,MC
113,39.2634436,-121.5062545,360,RM1L-m-COM8-DF,6115041001,COM,COM8,RM1L,MC
114,39.2634436,-121.5062545,360,RM2L-m-COM8-DF,6115041001,COM,COM8,RM2L,MC
115,39.2634436,-121.5062545,360,S1L-m-COM8-DF,6115041001,COM,COM8,S1L,MC
116,39.2634436,-121.5062545,360,S4L-m-COM8-DF,6115041001,COM,COM8,S4L,MC
117,39.2634436,-121.5062545,360,S2L-m-EDU1-DF,6115041001,EDU,EDU1,S2L,MS
118,39.2634436,-121.5062545,360,W2-m-EDU1-DF,6115041001,EDU,EDU1,W2,MS
119,39.2634436,-121.5062545,360,C2L-m-IND1-DF,6115041001,IND,IND1,C2L,MC
120,39.2634436,-121.5062545,360,PC1-m-IND2-DF,6115041001,IND,IND2,PC1,MC
121,39.2634436,-121.5062545,360,PC2L-m-IND2-DF,6115041001,IND,IND2,PC2L,MC
122,39.2634436,-121.5062545,360,RM1L-m-IND2-DF,6115041001,IND,IND2,RM1L,MC
123,39.2634436,-121.5062545,360,S1L-m-IND2-DF,6115041001,IND,IND2,S1L,MC
124,39.2634436,-121.5062545,360,S3-m-IND2-DF,6115041001,IND,IND2,S3,MC
125,39.2634436,-121.5062545,360,S4L-m-IND2-DF,6115041001,IND,IND2,S4L,MC
126,39.2634436,-121.5062545,360,C1L-m-IND3-DF,6115041001,IND,IND3,C1L,MC
127,39.2634436,-121.5062545,360,C2L-m-IND3-DF,6115041001,IND,IND3,C2L,MC
128,39.2634436,-121.5062545,360,PC1-m-IND3-DF,6115041001,IND,IND3,PC1,MC
129,39.2634436,-121.5062545,360,PC2L-m-IND3-DF,6115041001,IND,IND3,PC2L,MC
130,39.2634436,-121.5062545,360,RM1L-m-IND3-DF,6115041001,IND,IND3,RM1L,MC
131,39.2634436,-121.5062545,360,S1L-l-IND3-DF,6115041001,IND,IND3,S1L,LC
132,39.2634436,-121.5062545,360,S1L-m-IND3-DF,6115041001,IND,IND3,S1L,MC
133,39.2634436,-121.5062545,360,S2L-m-IND3-DF,6115041001,IND,IND3,S2L,MC
134,39.2634436,-121.5062545,360,S3-m-IND3-DF,6115041001,IND,IND3,S3,MC
135,39.2634436,-121.5062545,360,S4L-l-IND3-DF,6115041001,IND,IND3,S4L,LC
136,39.2634436,-121.5062545,360,S4L-m-IND3-DF,6115041001,IND,IND3,S4L,MC
137,39.2634436,-121.5062545,360,W1-m-IND3-DF,6115041001,IND,IND3,W1,MC
138,39.2634436,-121.5062545,360,W2-m-IND3-DF,6115041001,IND,IND3,W2,MC
139,39.2634436,-121.5062545,360,W1-m-IND5-DF,6115041001,IND,IND5,W1,MC
140,39.2634436,-121.5062545,360,C2L-m-IND6-DF,6115041001,IND,IND6,C2L,MC
141,39.2634436,-121.5062545,360,PC1-m-IND6-DF,6115041001,IND,IND6,PC1,MC
142,39.2634436,-121.5062545,360,PC2L-m-IND6-DF,6115041001,IND,IND6,PC2L,MC
143,39.2634436,-121.5062545,360,RM1L-m-IND6-DF,6115041001,IND,IND6,RM1L,MC
144,39.2634436,-121.5062545,360,S3-m-IND6-DF,6115041001,IND,IND6,S3,MC
145,39.2634436,-121.5062545,360,W1-m-IND6-DF,6115041001,IND,IND6,W1,MC
146,39.2634436,-121.5062545,360,W2-m-IND6-DF,6115041001,IND,IND6,W2,MC
147,39.2634436,-121.5062545,360,PC1-m-REL1-DF,6115041001,REL,REL1,PC1,MC
148,39.2634436,-121.5062545,360,S3-m-REL1-DF,6115041001,REL,REL1,S3,MC
149,39.2634436,-121.5062545,360,W2-m-REL1-DF,6115041001,REL,REL1,W2,MC
150,39.2634436,-121.5062545,360,W1-l-RES1-DF,6115041001,RES,RES1,W1,LC
151,39.2634436,-121.5062545,360,W1-m-RES1-DF,6115041001,RES,RES1,W1,MC
152,39.2634436,-121.5062545,360,W2-m-RES1-DF,6115041001,RES,RES1,W2,MC
153,39.2634436,-121.5062545,360,MH-l-RES2-DF,6115041001,RES,RES2,MH,LC
154,39.2634436,-121.5062545,360,MH-m-RES2-DF,6115041001,RES,RES2,MH,MC
155,39.2634436,-121.5062545,360,MH-p-RES2-DF,6115041001,RES,RES2,MH,PC
156,39.2634436,-121.5062545,360,C2L-m-RES3AF-DF,6115041001,RES,RES3A,C2L,MC
157,39.2634436,-121.5062545,360,PC2L-m-RES3AF-DF,6115041001,RES,RES3A,PC2L,MC
158,39.2634436,-121.5062545,360,RM1L-m-RES3AF-DF,6115041001,RES,RES3A,RM1L,MC
159,39.2634436,-121.5062545,360,S1L-m-RES3AF-DF,6115041001,RES,RES3A,S1L,MC
160,39.2634436,-121.5062545,360,S3-m-RES3AF-DF,6115041001,RES,RES3A,S3,MC
161,39.2634436,-121.5062545,360,S4L-m-RES3AF-DF,6115041001,RES,RES3A,S4L,MC
162,39.2634436,-121.5062545,360,W1-l-RES3AF-DF,6115041001,RES,RES3A,W1,LC
163,39.2634436,-121.5062545,360,W1-m-RES3AF-DF,6115041001,RES,RES3A,W1,MC
164,39.2634436,-121.5062545,360,W2-m-RES3AF-DF,6115041001,RES,RES3A,W2,MC
165,39.2634436,-121.5062545,360,C2L-m-RES3AF-DF,6115041001,RES,RES3B,C2L,MC
166,39.2634436,-121.5062545,360,S4L-m-RES3AF-DF,6115041001,RES,RES3B,S4L,MC
167,39.2634436,-121.5062545,360,W1-m-RES3AF-DF,6115041001,RES,RES3B,W1,MC
168,39.2634436,-121.5062545,360,W2-m-RES3AF-DF,6115041001,RES,RES3B,W2,MC
169,39.2634436,-121.5062545,360,W1-m-RES3AF-DF,6115041001,RES,RES3C,W1,MC
170,39.2634436,-121.5062545,360,RM1L-m-RES3AF-DF,6115041001,RES,RES3D,RM1L,MC
171,39.2634436,-121.5062545,360,RM1L-m-RES6-DF,6115041001,RES,RES6,RM1L,MC
172,39.2634436,-121.5062545,360,W1-m-RES6-DF,6115041001,RES,RES6,W1,MC
173,39.2634436,-121.5062545,360,W2-m-RES6-DF,6115041001,RES,RES6,W2,MC
174,37.5814599,-122.3897966,360,C2L-m-COM1-DF,6081605000,COM,COM1,C2L,MC
175,37.5814599,-122.3897966,360,C2M-m-COM1-DF,6081605000,COM,COM1,C2M,MC
176,37.5814599,-122.3897966,360,PC1-m-COM1-DF,6081605000,COM,COM1,PC1,MC
177,37.5814599,-122.3897966,360,RM1L-m-COM1-DF,6081605000,COM,COM1,RM1L,MC
178,37.5814599,-122.3897966,360,RM2L-m-COM1-DF,6081605000,COM,COM1,RM2L,MC
179,37.5814599,-122.3897966,360,W1-m-COM1-DF,6081605000,COM,COM1,W1,MC
180,37.5814599,-122.3897966,360,W2-m-COM1-DF,6081605000,COM,COM1,W2,MC
181,37.5814599,-122.3897966,360,C2L-m-COM10-DF,6081605000,COM,COM10,C2L,MC
182,37.5814599,-122.3897966,360,S4L-m-COM10-DF,6081605000,COM,COM10,S4L,MC
183,37.5814599,-122.3897966,360,C2L-m-COM2-DF,6081605000,COM,COM2,C2L,MC
184,37.5814599,-122.3897966,360,C2L-p-COM2-DF,6081605000,COM,COM2,C2L,PC
185,37.5814599,-122.3897966,360,C2M-m-COM2-DF,6081605000,COM,COM2,C2M,MC
186,37.5814599,-122.3897966,360,PC1-m-COM2-DF,6081605000,COM,COM2,PC1,MC
187,37.5814599,-122.3897966,360,PC1-h-COM2-DF,6081605000,COM,COM2,PC1,VC
188,37.5814599,-122.3897966,360,RM2L-m-COM2-DF,6081605000,COM,COM2,RM2L,MC
189,37.5814599,-122.3897966,360,RM2M-m-COM2-DF,6081605000,COM,COM2,RM2M,MC
190,37.5814599,-122.3897966,360,S4L-m-COM2-DF,6081605000,COM,COM2,S4L,MC
191,37.5814599,-122.3897966,360,W1-m-COM2-DF,6081605000,COM,COM2,W1,MC
192,37.5814599,-122.3897966,360,C2L-m-COM3-DF,6081605000,COM,COM3,C2L,MC
193,37.5814599,-122.3897966,360,C2M-m-COM3-DF,6081605000,COM,COM3,C2M,MC
194,37.5814599,-122.3897966,360,RM1L-m-COM3-DF,6081605000,COM,COM3,RM1L,MC
195,37.5814599,-122.3897966,360,RM2L-m-COM3-DF,6081605000,COM,COM3,RM2L,MC
196,37.5814599,-122.3897966,360,RM2M-m-COM3-DF,6081605000,COM,COM3,RM2M,MC
197,37.5814599,-122.3897966,360,S1L-m-COM3-DF,6081605000,COM,COM3,S1L,MC
198,37.5814599,-122.3897966,360,S1M-m-COM3-DF,6081605000,COM,COM3,S1M,MC
199,37.5814599,-122.3897966,360,W1-m-COM3-DF,6081605000,COM,COM3,W1,MC
200,37.5814599,-122.3897966,360,C1M-m-COM4-DF,6081605000,COM,COM4,C1M,MC
