AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,occupancy,strType,occType,designLevel,censusTract,ExpectedLoss
"47",33.680603,-117.281120,360,450.38,"RM2L-h-COM3-DF","COM3","RM2L","COM","HC","6065042748",NaN
"48",33.680603,-117.281120,360,2766.62,"W1-h-COM3-DF","COM3","W1","COM","HC","6065042748",NaN
"49",33.680603,-117.281120,360,18190.26,"W1-h-COM4-DF","COM4","W1","COM","HC","6065042748",NaN
"50",33.680603,-117.281120,360,1378.05,"W1-m-COM4-DF","COM4","W1","COM","MC","6065042748",NaN
"51",33.680603,-117.281120,360,7992.69,"W2-h-COM4-DF","COM4","W2","COM","HC","6065042748",NaN
"52",33.680603,-117.281120,360,1643.00,"W1-h-COM5-DF","COM5","W1","COM","HC","6065042748",NaN
"53",33.680603,-117.281120,360,2235.00,"W1-h-COM7-DF","COM7","W1","COM","HC","6065042748",NaN
"54",33.680603,-117.281120,360,1419.00,"S2L-h-COM8-DF","COM8","S2L","COM","HC","6065042748",NaN
"55",33.680603,-117.281120,360,1419.00,"W2-h-COM8-DF","COM8","W2","COM","HC","6065042748",NaN
"56",33.680603,-117.281120,360,191.00,"S3-h-GOV1-DF","GOV1","S3","GOV","HC","6065042748",NaN
"57",33.680603,-117.281120,360,379.00,"W1-h-IND1-DF","IND1","W1","IND","HC","6065042748",NaN
"58",33.680603,-117.281120,360,250.00,"W1-h-IND2-DF","IND2","W1","IND","HC","6065042748",NaN
"59",33.680603,-117.281120,360,975.00,"W1-h-IND3-DF","IND3","W1","IND","HC","6065042748",NaN
"60",33.680603,-117.281120,360,500.00,"W1-h-IND4-DF","IND4","W1","IND","HC","6065042748",NaN
"61",33.680603,-117.281120,360,5039.00,"W1-h-IND6-DF","IND6","W1","IND","HC","6065042748",NaN
"62",33.680603,-117.281120,360,1000882.00,"W1-h-RES1-DF","RES1","W1","RES","HC","6065042748",NaN
"63",33.680603,-117.281120,360,52678.00,"W1-m-RES1-DF","RES1","W1","RES","MC","6065042748",NaN
"64",33.680603,-117.281120,360,1987.00,"MH-m-RES2-DF","RES2","MH","RES","MC","6065042748",NaN
"65",33.680603,-117.281120,360,899.00,"W1-m-RES3AF-DF","RES3A","W1","RES","MC","6065042748",NaN
"66",33.680603,-117.281120,360,3888.00,"W1-h-RES3AF-DF","RES3D","W1","RES","HC","6065042748",NaN
"67",39.263444,-121.506255,360,887.51,"C2L-m-AGR1-DF","AGR1","C2L","AGR","MC","6115041001",NaN
"68",39.263444,-121.506255,360,887.51,"PC1-m-AGR1-DF","AGR1","PC1","AGR","MC","6115041001",NaN
"69",39.263444,-121.506255,360,921.65,"RM1L-m-AGR1-DF","AGR1","RM1L","AGR","MC","6115041001",NaN
"70",39.263444,-121.506255,360,1843.29,"RM2L-m-AGR1-DF","AGR1","RM2L","AGR","MC","6115041001",NaN
"71",39.263444,-121.506255,360,901.16,"S1L-m-AGR1-DF","AGR1","S1L","AGR","MC","6115041001",NaN
"72",39.263444,-121.506255,360,1829.64,"S3-m-AGR1-DF","AGR1","S3","AGR","MC","6115041001",NaN
"73",39.263444,-121.506255,360,921.65,"URML-p-AGR1-DF","AGR1","URML","AGR","PC","6115041001",NaN
"74",39.263444,-121.506255,360,928.47,"W1-l-AGR1-DF","AGR1","W1","AGR","LC","6115041001",NaN
"75",39.263444,-121.506255,360,3604.66,"W1-m-AGR1-DF","AGR1","W1","AGR","MC","6115041001",NaN
"76",39.263444,-121.506255,360,928.47,"W2-m-AGR1-DF","AGR1","W2","AGR","MC","6115041001",NaN
"77",39.263444,-121.506255,360,7230.38,"C2L-m-COM1-DF","COM1","C2L","COM","MC","6115041001",NaN
"78",39.263444,-121.506255,360,2508.50,"C2L-p-COM1-DF","COM1","C2L","COM","PC","6115041001",NaN
"79",39.263444,-121.506255,360,2508.50,"PC1-m-COM1-DF","COM1","PC1","COM","MC","6115041001",NaN
"80",39.263444,-121.506255,360,2508.50,"PC2L-m-COM1-DF","COM1","PC2L","COM","MC","6115041001",NaN
"81",39.263444,-121.506255,360,2450.16,"RM1L-m-COM1-DF","COM1","RM1L","COM","MC","6115041001",NaN
"82",39.263444,-121.506255,360,2378.10,"RM2L-m-COM1-DF","COM1","RM2L","COM","MC","6115041001",NaN
"83",39.263444,-121.506255,360,2402.12,"S3-m-COM1-DF","COM1","S3","COM","MC","6115041001",NaN
"84",39.263444,-121.506255,360,2378.10,"URML-p-COM1-DF","COM1","URML","COM","PC","6115041001",NaN
"85",39.263444,-121.506255,360,2487.91,"W1-m-COM1-DF","COM1","W1","COM","MC","6115041001",NaN
"86",39.263444,-121.506255,360,7463.73,"W2-m-COM1-DF","COM1","W2","COM","MC","6115041001",NaN
"87",39.263444,-121.506255,360,3385.60,"C2L-m-COM2-DF","COM2","C2L","COM","MC","6115041001",NaN
"88",39.263444,-121.506255,360,3310.36,"PC1-m-COM2-DF","COM2","PC1","COM","MC","6115041001",NaN
"89",39.263444,-121.506255,360,827.59,"PC1-p-COM2-DF","COM2","PC1","COM","PC","6115041001",NaN
"90",39.263444,-121.506255,360,852.67,"RM1L-m-COM2-DF","COM2","RM1L","COM","MC","6115041001",NaN
"91",39.263444,-121.506255,360,3310.36,"RM2L-m-COM2-DF","COM2","RM2L","COM","MC","6115041001",NaN
"92",39.263444,-121.506255,360,835.95,"S1L-m-COM2-DF","COM2","S1L","COM","MC","6115041001",NaN
"93",39.263444,-121.506255,360,1671.90,"S2L-m-COM2-DF","COM2","S2L","COM","MC","6115041001",NaN
"94",39.263444,-121.506255,360,835.95,"S3-m-COM2-DF","COM2","S3","COM","MC","6115041001",NaN
"95",39.263444,-121.506255,360,852.67,"URML-p-COM2-DF","COM2","URML","COM","PC","6115041001",NaN
"96",39.263444,-121.506255,360,835.95,"W1-m-COM2-DF","COM2","W1","COM","MC","6115041001",NaN
"97",39.263444,-121.506255,360,1331.30,"C2L-m-COM3-DF","COM3","C2L","COM","MC","6115041001",NaN
"98",39.263444,-121.506255,360,655.72,"PC1-m-COM3-DF","COM3","PC1","COM","MC","6115041001",NaN
"99",39.263444,-121.506255,360,1331.30,"RM1L-m-COM3-DF","COM3","RM1L","COM","MC","6115041001",NaN
"100",39.263444,-121.506255,360,655.72,"RM2L-m-COM3-DF","COM3","RM2L","COM","MC","6115041001",NaN
"101",39.263444,-121.506255,360,1254.96,"W1-m-COM3-DF","COM3","W1","COM","MC","6115041001",NaN
"102",39.263444,-121.506255,360,1260.69,"C1L-m-COM4-DF","COM4","C1L","COM","MC","6115041001",NaN
"103",39.263444,-121.506255,360,3782.06,"C2L-m-COM4-DF","COM4","C2L","COM","MC","6115041001",NaN
"104",39.263444,-121.506255,360,1260.69,"PC1-m-COM4-DF","COM4","PC1","COM","MC","6115041001",NaN
"105",39.263444,-121.506255,360,4991.18,"RM1L-m-COM4-DF","COM4","RM1L","COM","MC","6115041001",NaN
"106",39.263444,-121.506255,360,2458.34,"RM2L-m-COM4-DF","COM4","RM2L","COM","MC","6115041001",NaN
"107",39.263444,-121.506255,360,9982.36,"W1-m-COM4-DF","COM4","W1","COM","MC","6115041001",NaN
"108",39.263444,-121.506255,360,4916.68,"W2-m-COM4-DF","COM4","W2","COM","MC","6115041001",NaN
