assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,hazus
42,33.6806028,-117.2811199,360,529.25,RM1L-h-COM1-DF,6065042748,COM,COM1,RM1L,HC,RM1L-HC-COM1
43,33.6806028,-117.2811199,360,529.25,RM2L-h-COM1-DF,6065042748,COM,COM1,RM2L,HC,RM2L-HC-COM1
44,33.6806028,-117.2811199,360,529.25,W1-h-COM1-DF,6065042748,COM,COM1,W1,HC,W1-HC-COM1
45,33.6806028,-117.2811199,360,529.25,W2-h-COM1-DF,6065042748,COM,COM1,W2,HC,W2-HC-COM1
46,33.6806028,-117.2811199,360,1840,W1-h-COM2-DF,6065042748,COM,COM2,W1,HC,W1-HC-COM2
47,33.6806028,-117.2811199,360,450.38,RM2L-h-COM3-DF,6065042748,COM,COM3,RM2L,HC,RM2L-HC-COM3
48,33.6806028,-117.2811199,360,2766.62,W1-h-COM3-DF,6065042748,COM,COM3,W1,HC,W1-HC-COM3
49,33.6806028,-117.2811199,360,18190.26,W1-h-COM4-DF,6065042748,COM,COM4,W1,HC,W1-HC-COM4
50,33.6806028,-117.2811199,360,1378.05,W1-m-COM4-DF,6065042748,COM,COM4,W1,MC,W1-MC-COM4
51,33.6806028,-117.2811199,360,7992.69,W2-h-COM4-DF,6065042748,COM,COM4,W2,HC,W2-HC-COM4
52,33.6806028,-117.2811199,360,1643,W1-h-COM5-DF,6065042748,COM,COM5,W1,HC,W1-HC-COM5
53,33.6806028,-117.2811199,360,2235,W1-h-COM7-DF,6065042748,COM,COM7,W1,HC,W1-HC-COM7
54,33.6806028,-117.2811199,360,1419,S2L-h-COM8-DF,6065042748,COM,COM8,S2L,HC,S2L-HC-COM8
55,33.6806028,-117.2811199,360,1419,W2-h-COM8-DF,6065042748,COM,COM8,W2,HC,W2-HC-COM8
56,33.6806028,-117.2811199,360,191,S3-h-GOV1-DF,6065042748,GOV,GOV1,S3,HC,S3-HC-GOV1
57,33.6806028,-117.2811199,360,379,W1-h-IND1-DF,6065042748,IND,IND1,W1,HC,W1-HC-IND1
58,33.6806028,-117.2811199,360,250,W1-h-IND2-DF,6065042748,IND,IND2,W1,HC,W1-HC-IND2
59,33.6806028,-117.2811199,360,975,W1-h-IND3-DF,6065042748,IND,IND3,W1,HC,W1-HC-IND3
60,33.6806028,-117.2811199,360,500,W1-h-IND4-DF,6065042748,IND,IND4,W1,HC,W1-HC-IND4
61,33.6806028,-117.2811199,360,5039,W1-h-IND6-DF,6065042748,IND,IND6,W1,HC,W1-HC-IND6
62,33.6806028,-117.2811199,360,1000882,W1-h-RES1-DF,6065042748,RES,RES1,W1,HC,W1-HC-RES1
63,33.6806028,-117.2811199,360,52678,W1-m-RES1-DF,6065042748,RES,RES1,W1,MC,W1-MC-RES1
64,33.6806028,-117.2811199,360,1987,MH-m-RES2-DF,6065042748,RES,RES2,MH,MC,MH-MC-RES2
65,33.6806028,-117.2811199,360,899,W1-m-RES3AF-DF,6065042748,RES,RES3A,W1,MC,W1-MC-RES3
66,33.6806028,-117.2811199,360,3888,W1-h-RES3AF-DF,6065042748,RES,RES3D,W1,HC,W1-HC-RES3
67,39.2634436,-121.5062545,360,887.51,C2L-m-AGR1-DF,6115041001,AGR,AGR1,C2L,MC,C2L-MC-AGR1
68,39.2634436,-121.5062545,360,887.51,PC1-m-AGR1-DF,6115041001,AGR,AGR1,PC1,MC,PC1-MC-AGR1
69,39.2634436,-121.5062545,360,921.645,RM1L-m-AGR1-DF,6115041001,AGR,AGR1,RM1L,MC,RM1L-MC-AGR1
