assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,occ,designlevel
737852,37.2478128,-121.9014134,360,346498.6,W1-m-RES1-DF,06085502906,RES,RES1,W1,MC,RES1,m
737961,34.3623765,-119.3512684,360,253474.6,W1-m-RES1-DF,06111009500,RES,RES1,W1,MC,RES1,m
738080,37.3430271,-121.9443826,360,281819.2,W1-m-RES1-DF,06085505700,RES,RES1,W1,MC,RES1,m
738174,34.408525,-118.4091281,360,266833.0,W1-m-RES1-DF,06037910809,RES,RES1,W1,MC,RES1,m
738271,38.4198882,-121.7998024,360,396708.0,W1-m-RES1-DF,06095253300,RES,RES1,W1,MC,RES1,m
738310,37.7811411,-122.4129545,360,2601.245,W1-m-RES1-DF,06075012504,RES,RES1,W1,MC,RES1,m
738359,34.0436195,-118.2050757,360,15784.86,W1-m-RES1-DF,06037204200,RES,RES1,W1,MC,RES1,m
738473,33.530692,-117.762767,360,626757.3,W1-m-RES1-DF,06059062620,RES,RES1,W1,MC,RES1,m
738579,32.8262504,-117.1737801,360,376651.2,W1-m-RES1-DF,06073008507,RES,RES1,W1,MC,RES1,m
738681,34.1853923,-118.312844,360,31555.16,W1-m-RES1-DF,06037310701,RES,RES1,W1,MC,RES1,m
738789,34.0396389,-118.0443414,360,163147.0,W1-m-RES1-DF,06037433803,RES,RES1,W1,MC,RES1,m
738842,34.5690669,-118.1046034,360,100951.8,W1-m-RES1-DF,06037910504,RES,RES1,W1,MC,RES1,m
738901,33.8142493,-117.9414133,360,165709.8,W1-m-RES1-DF,06059087601,RES,RES1,W1,MC,RES1,m
738977,32.8522157,-117.2118141,360,459245.2,W1-m-RES1-DF,06073008307,RES,RES1,W1,MC,RES1,m
739048,32.7864962,-117.0489529,360,1159668.0,W1-m-RES1-DF,06073009706,RES,RES1,W1,MC,RES1,m
739113,32.6978493,-117.0900849,360,106259.2,W1-m-RES1-DF,06073003305,RES,RES1,W1,MC,RES1,m
739220,33.9331435,-117.9434406,360,164781.7,W1-m-RES1-DF,06059001202,RES,RES1,W1,MC,RES1,m
739276,34.6822442,-118.1080488,360,64806.87,W1-m-RES1-DF,06037900505,RES,RES1,W1,MC,RES1,m
739330,32.7439931,-117.0896386,360,56591.55,W1-m-RES1-DF,06073002709,RES,RES1,W1,MC,RES1,m
739512,34.1009548,-118.3216769,360,54856.7,W1-m-RES1-DF,06037191000,RES,RES1,W1,MC,RES1,m
739636,37.9683314,-120.4721113,360,187254.7,W1-m-RES1-DF,06109005102,RES,RES1,W1,MC,RES1,m
739673,34.0010705,-118.375497,360,6927.13,W1-m-RES1-DF,06037980038,RES,RES1,W1,MC,RES1,m
739743,36.3946939,-119.0868717,360,165560.2,W1-m-RES1-DF,06107000701,RES,RES1,W1,MC,RES1,m
739806,34.224417,-118.3654293,360,76260.5,W1-m-RES1-DF,06037121101,RES,RES1,W1,MC,RES1,m
739852,38.5536342,-121.7633229,360,228036.0,W1-m-RES1-DF,06113010703,RES,RES1,W1,MC,RES1,m
739961,34.0155079,-117.6893011,360,102848.5,W1-m-RES1-DF,06071000605,RES,RES1,W1,MC,RES1,m
740101,33.4726083,-117.6384355,360,480170.0,W1-m-RES1-DF,06059042205,RES,RES1,W1,MC,RES1,m
740158,36.3580162,-119.6393197,360,579296.0,W1-m-RES1-DF,06031000701,RES,RES1,W1,MC,RES1,m
740212,34.1376048,-118.2473422,360,27970.95,W1-m-RES1-DF,06037302503,RES,RES1,W1,MC,RES1,m
740313,36.9564718,-121.9752387,360,238101.8,W1-m-RES1-DF,06087121601,RES,RES1,W1,MC,RES1,m
740400,33.9403266,-117.4871242,360,153983.3,W1-m-RES1-DF,06065041102,RES,RES1,W1,MC,RES1,m
740488,37.4225313,-122.2858204,360,848134.6,W1-m-RES1-DF,06081613400,RES,RES1,W1,MC,RES1,m
740539,33.7247349,-118.2990073,360,111489.0,W1-m-RES1-DF,06037297202,RES,RES1,W1,MC,RES1,m
740620,34.1029542,-117.4469078,360,68048.99,W1-m-RES1-DF,06071002803,RES,RES1,W1,MC,RES1,m
740768,38.5814083,-122.5826961,360,233235.4,W1-m-RES1-DF,06055202000,RES,RES1,W1,MC,RES1,m
740922,34.0760667,-117.358974,360,25418.88,W1-m-RES1-DF,06071003612,RES,RES1,W1,MC,RES1,m
741038,33.8214013,-117.958885,360,346615.2,W1-m-RES1-DF,06059087701,RES,RES1,W1,MC,RES1,m
741128,38.1083885,-122.2622993,360,68829.26,W1-m-RES1-DF,06095251600,RES,RES1,W1,MC,RES1,m
741296,34.203248,-118.611899,360,412499.8,W1-m-RES1-DF,06037134303,RES,RES1,W1,MC,RES1,m
741310,37.9647246,-122.5035931,360,31311.0,W1-m-RES1-DF,06041112203,RES,RES1,W1,MC,RES1,m
741462,32.6407694,-117.080367,360,31717.56,W1-m-RES1-DF,06073012302,RES,RES1,W1,MC,RES1,m
741517,38.6306876,-121.2455336,360,838232.0,W1-m-RES1-DF,06067008702,RES,RES1,W1,MC,RES1,m
741614,37.9825777,-122.2872266,360,380648.3,W1-m-RES1-DF,06013360101,RES,RES1,W1,MC,RES1,m
741662,34.0289616,-117.3029787,360,152692.4,W1-m-RES1-DF,06071007104,RES,RES1,W1,MC,RES1,m
741719,34.0896162,-118.2093313,360,57242.72,W1-m-RES1-DF,06037199400,RES,RES1,W1,MC,RES1,m
741843,34.0387491,-118.2078724,360,44497.53,W1-m-RES1-DF,06037204300,RES,RES1,W1,MC,RES1,m
741881,34.1026294,-118.0443582,360,205684.2,W1-m-RES1-DF,06037432001,RES,RES1,W1,MC,RES1,m
741916,33.9921082,-118.3023519,360,34692.0,W1-m-RES1-DF,06037232601,RES,RES1,W1,MC,RES1,m
742031,37.7215886,-122.3900583,360,138037.7,W1-m-RES1-DF,06075023400,RES,RES1,W1,MC,RES1,m
742104,33.9470153,-118.2593919,360,207690.1,W1-m-RES1-DF,06037240700,RES,RES1,W1,MC,RES1,m
742168,33.9931522,-118.079233,360,243476.4,W1-m-RES1-DF,06037500900,RES,RES1,W1,MC,RES1,m
742288,38.1343905,-121.2597113,360,9025.153,W1-m-RES1-DF,06077004502,RES,RES1,W1,MC,RES1,m
742454,37.3185985,-122.0493596,360,404705.7,W1-m-RES1-DF,06085507701,RES,RES1,W1,MC,RES1,m
742493,34.5742111,-118.2180443,360,8016.44,W1-m-RES1-DF,06037910217,RES,RES1,W1,MC,RES1,m
742603,34.0817769,-118.0898121,360,112967.4,W1-m-RES1-DF,06037481403,RES,RES1,W1,MC,RES1,m
742685,33.096997,-117.0804431,360,211153.9,W1-m-RES1-DF,06073020403,RES,RES1,W1,MC,RES1,m
742781,33.8038178,-116.6792727,360,317693.3,W1-m-RES1-DF,06065044405,RES,RES1,W1,MC,RES1,m
742986,33.7046746,-117.9372009,360,515790.6,W1-m-RES1-DF,06059099229,RES,RES1,W1,MC,RES1,m
743075,34.2798973,-119.2288045,360,390218.5,W1-m-RES1-DF,06111001801,RES,RES1,W1,MC,RES1,m
