AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,censusTract,occType,occupancy,strType,designLevel,ExpectedLoss
"47",33.680603,-117.281120,360,450.38,"RM2L-h-COM3-DF","6065042748","COM","COM3","RM2L","HC",NaN
"48",33.680603,-117.281120,360,2766.62,"W1-h-COM3-DF","6065042748","COM","COM3","W1","HC",NaN
"49",33.680603,-117.281120,360,18190.26,"W1-h-COM4-DF","6065042748","COM","COM4","W1","HC",NaN
"50",33.680603,-117.281120,360,1378.05,"W1-m-COM4-DF","6065042748","COM","COM4","W1","MC",NaN
"51",33.680603,-117.281120,360,7992.69,"W2-h-COM4-DF","6065042748","COM","COM4","W2","HC",NaN
"52",33.680603,-117.281120,360,1643.00,"W1-h-COM5-DF","6065042748","COM","COM5","W1","HC",NaN
"53",33.680603,-117.281120,360,2235.00,"W1-h-COM7-DF","6065042748","COM","COM7","W1","HC",NaN
"54",33.680603,-117.281120,360,1419.00,"S2L-h-COM8-DF","6065042748","COM","COM8","S2L","HC",NaN
"55",33.680603,-117.281120,360,1419.00,"W2-h-COM8-DF","6065042748","COM","COM8","W2","HC",NaN
"56",33.680603,-117.281120,360,191.00,"S3-h-GOV1-DF","6065042748","GOV","GOV1","S3","HC",NaN
"57",33.680603,-117.281120,360,379.00,"W1-h-IND1-DF","6065042748","IND","IND1","W1","HC",NaN
"58",33.680603,-117.281120,360,250.00,"W1-h-IND2-DF","6065042748","IND","IND2","W1","HC",NaN
"59",33.680603,-117.281120,360,975.00,"W1-h-IND3-DF","6065042748","IND","IND3","W1","HC",NaN
"60",33.680603,-117.281120,360,500.00,"W1-h-IND4-DF","6065042748","IND","IND4","W1","HC",NaN
"61",33.680603,-117.281120,360,5039.00,"W1-h-IND6-DF","6065042748","IND","IND6","W1","HC",NaN
"62",33.680603,-117.281120,360,1000882.00,"W1-h-RES1-DF","6065042748","RES","RES1","W1","HC",NaN
"63",33.680603,-117.281120,360,52678.00,"W1-m-RES1-DF","6065042748","RES","RES1","W1","MC",NaN
